Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","515","Apples","1998","1998","tonnes","21","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","515","Apples","1999","1999","tonnes","21","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","515","Apples","2018","2018","tonnes","21","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","515","Apples","1998","1998","1000 US$","14","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","515","Apples","1999","1999","1000 US$","11","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","515","Apples","2018","2018","1000 US$","17","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","507","Grapefruit (inc. pomelos)","1999","1999","tonnes","22","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","507","Grapefruit (inc. pomelos)","1999","1999","1000 US$","16","","Official data"
"TM","Detailed trade matrix","231","United States of America","4","Algeria","5910","Export Quantity","515","Apples","1998","1998","tonnes","85","","Official data"
"TM","Detailed trade matrix","231","United States of America","4","Algeria","5910","Export Quantity","515","Apples","2009","2009","tonnes","71","","Official data"
"TM","Detailed trade matrix","231","United States of America","4","Algeria","5922","Export Value","515","Apples","1998","1998","1000 US$","21","","Official data"
"TM","Detailed trade matrix","231","United States of America","4","Algeria","5922","Export Value","515","Apples","2009","2009","1000 US$","69","","Official data"
"TM","Detailed trade matrix","231","United States of America","4","Algeria","5910","Export Quantity","572","Avocados","2000","2000","tonnes","51","","Official data"
"TM","Detailed trade matrix","231","United States of America","4","Algeria","5922","Export Value","572","Avocados","2000","2000","1000 US$","112","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5910","Export Quantity","515","Apples","1990","1990","tonnes","49","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5910","Export Quantity","515","Apples","1991","1991","tonnes","37","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5910","Export Quantity","515","Apples","1992","1992","tonnes","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5910","Export Quantity","515","Apples","2011","2011","tonnes","16","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5922","Export Value","515","Apples","1990","1990","1000 US$","24","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5922","Export Value","515","Apples","1991","1991","1000 US$","46","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5922","Export Value","515","Apples","1992","1992","1000 US$","3","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5922","Export Value","515","Apples","2011","2011","1000 US$","17","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5910","Export Quantity","572","Avocados","2018","2018","tonnes","2","","Official data"
"TM","Detailed trade matrix","231","United States of America","7","Angola","5922","Export Value","572","Avocados","2018","2018","1000 US$","5","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","1988","1988","tonnes","120","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","1989","1989","tonnes","19","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","1990","1990","tonnes","13","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","1991","1991","tonnes","36","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","1992","1992","tonnes","10","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","1994","1994","tonnes","10","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2001","2001","tonnes","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2002","2002","tonnes","4","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2003","2003","tonnes","32","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2004","2004","tonnes","53","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2005","2005","tonnes","80","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2006","2006","tonnes","116","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2007","2007","tonnes","98","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2008","2008","tonnes","141","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2009","2009","tonnes","114","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2010","2010","tonnes","65","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2011","2011","tonnes","53","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2012","2012","tonnes","45","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2013","2013","tonnes","97","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2014","2014","tonnes","82","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2015","2015","tonnes","111","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2016","2016","tonnes","100","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2017","2017","tonnes","55","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2018","2018","tonnes","29","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2019","2019","tonnes","20","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2020","2020","tonnes","30","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1988","1988","1000 US$","72","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1989","1989","1000 US$","11","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1990","1990","1000 US$","4","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1991","1991","1000 US$","11","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1992","1992","1000 US$","8","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1994","1994","1000 US$","9","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2001","2001","1000 US$","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2002","2002","1000 US$","4","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2003","2003","1000 US$","33","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2004","2004","1000 US$","67","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2005","2005","1000 US$","92","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2006","2006","1000 US$","153","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2007","2007","1000 US$","143","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2008","2008","1000 US$","241","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2009","2009","1000 US$","184","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2010","2010","1000 US$","96","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2011","2011","1000 US$","61","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2012","2012","1000 US$","84","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2013","2013","1000 US$","202","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2014","2014","1000 US$","139","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2015","2015","1000 US$","188","","Official data"
